exercise_id,exercise_name,keep
CUSTOM:Active_Hang,Active Hang,t
CANONICAL:FFDB:2687,Alternating Single Arm Dumbbell Hang Power Clean,t
CUSTOM:Arched_Hang,Arched Hang,t
CANONICAL:FFDB:1888,Bar Dead Hang,t
CANONICAL:FFDB:776,Bar Dead Hang to Front Lever Pull Up,t
CANONICAL:FFDB:2600,Bar False Grip Pull Up,t
CANONICAL:FFDB:1374,Bar Front Lever Pull to Inverted Hang,t
CANONICAL:FFDB:1381,Bar Hanging Knee Raise,t
CANONICAL:FFDB:1382,Bar Hanging Knees to Elbows,t
CANONICAL:FFDB:1383,Bar Hanging Knees to Wrists,t
CANONICAL:FFDB:1572,Bar Hanging L Sit,t
CANONICAL:FFDB:1388,Bar Hanging L Sit Flutter Kicks,t
CANONICAL:FFDB:1384,Bar Hanging Leg Raise,t
CANONICAL:FFDB:1386,Bar Hanging Oblique Knee Raise,t
CANONICAL:FFDB:1385,Bar Hanging Toes to Bar,t
CANONICAL:FFDB:1622,Bar Hanging Tuck L Sit,t
CANONICAL:FFDB:1387,Bar Inverted Hang,t
CANONICAL:FFDB:72,Bar Inverted Hanging Crunch,t
EXERCISE:Barbell_Bench_Press_-_Medium_Grip,Barbell Bench Press - Medium Grip,f
CANONICAL:FFDB:176,Barbell Close Grip Bench Press,f
CANONICAL:FFDB:447,Barbell Close Grip Decline Bench Press,f
CANONICAL:FFDB:446,Barbell Close Grip Incline Bench Press,f
CANONICAL:FFDB:2923,Barbell Close Grip Incline Push Up,f
CANONICAL:FFDB:672,Barbell Deficit Snatch Grip Deadlift,t
CANONICAL:FFDB:442,Barbell Hang Power Clean,t
CANONICAL:FFDB:2608,Barbell Hang Power Clean to Front Rack Squat,f
CANONICAL:FFDB:2612,Barbell Hang Power Clean to Overhead Press,f
CANONICAL:FFDB:2610,Barbell Hang Power Clean to Push Jerk,f
CANONICAL:FFDB:2611,Barbell Hang Power Clean to Push Press,f
CANONICAL:FFDB:2609,Barbell Hang Power Clean to Split Jerk,f
