custom_id,custom_name,set_count,custom_muscles,custom_source,canonical_id,canonical_name,canonical_muscles,canonical_source,action,notes
CUSTOM:Kettlebell_Swings,Kettlebell Swings,100,16,google_ai_overview,CANONICAL:ARNOLD:KB_SWING_2H,Kettlebell Swing,0,,"MERGE_TO_CANONICAL","Use canonical ID, keep CUSTOM muscle data, add 'Kettlebell Swings' as alias"
CUSTOM:Kickboxing,Kickboxing,72,17,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","New exercise - no equivalent exists"
CUSTOM:Sandbag_Overhead_Hold,Sandbag Overhead Hold,66,16,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","New exercise - no equivalent exists"
CUSTOM:Trap-Bar_Static_Hold,Trap-Bar Static Hold,56,9,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","New exercise - no equivalent exists"
CUSTOM:Weighted_Pull-Up,Weighted Pull-Up,52,12,google_ai_overview,EXERCISE:Weighted_Pull_Ups,Weighted Pull Ups,3,free-exercise-db,"MERGE_TO_CANONICAL","Keep CUSTOM muscle data (better), add alias"
CUSTOM:AirDyne,AirDyne,40,14,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","New exercise - cardio equipment"
CUSTOM:Sandbag_Push_Press,Sandbag Push Press,35,15,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","New exercise - no equivalent exists"
CUSTOM:Trap_Bar_Romanian_Deadlift,Trap Bar Romanian Deadlift,34,11,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","New exercise - equipment variant"
CUSTOM:Prone_Y-Raises,Prone Y-Raises,24,8,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Mixed_Load_Farmer_Carry,Mixed Load Farmer Carry,23,18,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","New exercise - asymmetric variant"
CUSTOM:Box_Step-Up,Box Step-Up,22,9,google_ai_overview,EXERCISE:Step-up,Step-up,3,free-exercise-db,"KEEP_SEPARATE","DECIDED: Box specifies equipment - separate from generic step-up"
CUSTOM:Sternum_Pull-Up,Sternum Pull-Up,22,12,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
CUSTOM:Bear-Hug_Static_Hold,Bear-Hug Static Hold,21,11,google_ai_overview,,,0,,"PROMOTE_TO_CANONICAL","New exercise"
